Breed Name,Picture,URL,Adapts Well To Apartment Living,Good For Novice Owner,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid Friendly,Dog Friendly,Stranger Friendly,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Weight Gain Potential,Size,Easy To Train,Intelligence,Mouthiness Potential,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,High Energy Level,Intensity,Playfulness,Adaptability,Friendliness,Health And Grooming,Trainability,Exercise Needs
French Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1186335905-e1696010191914.jpg?w=1024,https://dogtime.com/dog-breeds/french-spaniel,2,4,4,3,4,2,5,4,4,4,3,2,3,4,2,3,4,4,2,3,2,2,5,3,4,3.1667,4.2500,2.8333,2.8333,4.0000
Frenchton,https://dogtime.com/wp-content/uploads/sites/12/2020/01/frenchton-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/frenchton,5,5,3,2,3,3,5,5,5,5,4,3,5,4,2,2,4,4,2,2,3,3,3,3,5,3.5000,5.0000,3.3333,3.0000,3.6667
Frengle,https://dogtime.com/wp-content/uploads/sites/12/2020/02/frengle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/frengle,4,4,4,3,2,2,5,5,4,4,3,1,5,4,4,3,3,4,3,3,2,3,4,3,5,3.1667,4.5000,3.3333,3.0000,4.0000
German Pinscher,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1241525012-1-e1696424722713.jpg?w=1024,https://dogtime.com/dog-breeds/german-pinscher,3,3,4,3,3,4,5,3,2,2,3,1,5,4,3,3,4,5,3,5,3,4,5,3,5,3.3333,3.0000,3.1667,4.0000,4.3333
German Shepherd Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-529202089-e1701095552546.jpg?w=1024,https://dogtime.com/dog-breeds/german-shepherd-dog,3,2,5,2,4,3,5,5,2,4,5,1,5,4,2,4,5,5,5,4,4,2,5,5,5,3.1667,4.0000,3.5000,4.1667,5.0000
German Shepherd Pit Bull,https://dogtime.com/wp-content/uploads/sites/12/2020/02/german-shepherd-pit-bull-mixed-dog-breed-pictures-COVER.jpg,https://dogtime.com/dog-breeds/german-shepherd-pit-bull,1,1,4,1,3,3,5,5,4,4,5,1,5,4,4,4,5,5,5,4,4,3,5,5,5,2.1667,4.5000,3.8333,4.3333,5.0000
German Sheprador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/german-sheprador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/german-sheprador,2,1,5,2,4,4,5,5,4,4,5,2,5,3,3,4,5,5,5,3,2,2,5,5,5,3.0000,4.5000,3.6667,3.6667,5.0000
German Shorthaired Pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1287712832-e1692459746136.jpg?w=1024,https://dogtime.com/dog-breeds/german-shorthaired-pointer,1,2,4,1,2,4,5,5,4,3,2,2,5,3,3,3,5,5,4,5,3,5,5,3,5,2.3333,4.2500,3.0000,4.5000,4.3333
German Spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1145716084-e1695412569891.jpg?w=1024,https://dogtime.com/dog-breeds/german-spitz,4,2,3,3,3,2,5,4,3,3,4,1,2,4,4,1,2,4,4,5,4,2,5,3,4,2.8333,3.7500,2.6667,3.5000,4.0000
German Wirehaired Pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1370794115-e1693316668360.jpg?w=1024,https://dogtime.com/dog-breeds/german-wirehaired-pointer,2,3,4,2,3,4,5,3,3,2,2,2,4,4,3,4,4,5,4,4,3,5,5,4,5,3.0000,3.2500,3.1667,4.1667,4.6667
Giant Schnauzer,"https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153483247.jpg?resize=1536,1227",https://dogtime.com/dog-breeds/giant-schnauzer,1,1,4,2,4,2,5,3,3,2,4,1,2,4,3,4,5,4,3,4,4,4,5,2,5,2.3333,3.2500,3.0000,4.0000,4.0000
Glen of Imaal Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-154451984-e1693662214622.jpg?w=1024,https://dogtime.com/dog-breeds/glen-of-imaal-terrier,4,2,3,3,3,4,5,5,2,3,1,1,5,5,3,1,4,4,3,5,4,3,4,5,4,3.1667,3.7500,2.6667,3.8333,4.3333
Goberian,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1321083270-e1696256621612.jpg?w=1024,https://dogtime.com/dog-breeds/goberian,1,2,3,2,5,2,4,4,4,2,2,1,5,4,4,4,2,5,3,4,2,4,5,4,4,2.5000,3.5000,3.3333,3.3333,4.3333
Goldador,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1360847842-e1709654744507.jpg?w=1024,https://dogtime.com/dog-breeds/goldador,2,4,3,4,5,4,5,5,5,5,3,2,4,4,3,4,4,5,2,1,1,4,5,5,5,3.6667,5.0000,3.3333,2.8333,5.0000
Golden Cocker Retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/10/golden-cocker-retriever-mixed-dog-breed-pictures-cover-1.jpg,https://dogtime.com/dog-breeds/golden-cocker-retriever,1,4,4,1,2,4,5,4,4,3,4,1,4,4,4,3,4,4,2,2,3,4,5,2,5,2.6667,4.0000,3.3333,3.1667,4.0000
Golden Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1000435950-e1705593968178.jpg?w=1024,https://dogtime.com/dog-breeds/golden-mountain-dog,1,2,2,2,5,1,5,5,4,3,4,4,2,3,4,5,4,4,2,2,3,4,4,2,5,2.1667,4.2500,3.6667,3.1667,3.6667
Golden Retriever,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1285465107-e1710251441662.jpg?w=1024,https://dogtime.com/dog-breeds/golden-retriever,2,3,5,1,3,3,5,5,5,5,5,4,2,2,5,3,5,5,5,3,3,2,5,2,5,2.8333,5.0000,3.5000,3.8333,4.0000
Golden Retriever Corgi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/golden-retriever-corgi,3,4,3,3,3,3,5,5,4,4,4,3,3,3,4,3,4,4,3,2,3,2,4,3,5,3.1667,4.5000,3.3333,3.0000,4.0000
Golden Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-18-at-1.14.53-PM.png,https://dogtime.com/dog-breeds/golden-shepherd,2,2,5,1,5,4,5,5,3,5,5,2,2,3,3,5,5,5,5,3,3,2,5,3,5,3.1667,4.5000,3.3333,3.8333,4.3333
Goldendoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142805141-e1689614063230.jpg?w=1024,https://dogtime.com/dog-breeds/goldendoodle,1,4,4,3,3,3,5,5,5,4,2,1,4,3,3,4,4,5,1,1,3,3,4,3,5,3.0000,4.7500,2.8333,2.8333,4.0000
Gollie,https://dogtime.com/wp-content/uploads/sites/12/2019/09/gollie-mixed-dog-breed-pictures-1-1.jpg,https://dogtime.com/dog-breeds/gollie,1,4,3,2,3,3,5,5,4,4,4,2,3,3,4,3,4,4,2,2,2,4,5,3,5,2.6667,4.5000,3.1667,3.0000,4.3333
Gordon Setter,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1297799155-e1694182101120.jpg?w=1024,https://dogtime.com/dog-breeds/gordon-setter,2,3,4,1,4,3,5,3,2,3,5,3,2,4,3,3,5,5,3,4,5,4,5,2,5,2.8333,3.2500,3.3333,4.3333,4.0000
Great Dane,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1372212075-e1705674944967.jpg?w=1024,https://dogtime.com/dog-breeds/great-dane,1,1,5,1,2,3,5,5,5,5,5,4,5,4,2,5,5,3,2,3,4,3,5,5,5,2.1667,5.0000,4.1667,3.3333,5.0000
Great Pyrenees,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1392624178-e1699369134229.jpg?w=1024,https://dogtime.com/dog-breeds/great-pyrenees,1,1,4,3,5,3,5,4,4,3,5,2,4,2,4,5,1,4,2,5,5,5,5,5,4,2.8333,4.0000,3.6667,3.6667,4.6667
Greater Swiss Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-481853236-e1696252573739.jpg?w=1024,https://dogtime.com/dog-breeds/greater-swiss-mountain-dog,1,2,4,3,5,1,5,5,5,3,3,1,5,2,4,5,3,3,3,4,4,3,5,4,5,2.6667,4.5000,3.3333,3.3333,4.6667
Greyador,https://dogtime.com/wp-content/uploads/sites/12/2020/02/greyador-mixed-dog-breed-pictures-COVER.jpg,https://dogtime.com/dog-breeds/greyador,3,2,5,1,1,3,5,5,5,5,5,4,5,4,5,4,3,5,5,4,4,4,4,4,4,2.5000,5.0000,4.5000,4.1667,4.0000
Greyhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1307444886-e1689603365467.jpg?w=1024,https://dogtime.com/dog-breeds/greyhound,4,2,5,1,1,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,2,5,5,3,4,3.0000,4.7500,4.5000,4.3333,4.0000
Hamiltonstovare,https://dogtime.com/wp-content/uploads/sites/12/2019/12/Hamiltonstovare-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/hamiltonstovare,3,2,4,3,3,3,5,4,3,3,1,1,4,4,3,3,3,4,2,5,3,2,5,3,4,3.0000,3.7500,2.6667,3.1667,4.0000
Hanoverian Scenthound,https://dogtime.com/wp-content/uploads/sites/12/2019/11/Hanoverian-Scenthound-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/hanoverian-scenthound,2,1,4,3,3,3,5,5,4,3,2,1,4,4,3,4,2,4,2,4,3,2,4,3,4,2.6667,4.2500,3.0000,2.8333,3.6667
Harrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-478594617-e1708826665721.jpg?w=1024,https://dogtime.com/dog-breeds/harrier,1,3,2,3,3,4,4,5,5,5,3,1,5,5,3,3,2,4,3,4,4,5,5,4,5,2.6667,4.7500,3.3333,3.6667,4.6667
Havanese,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1188952756-e1693150813872.jpg?w=1024,https://dogtime.com/dog-breeds/havanese,5,5,4,1,3,4,5,4,5,5,2,1,1,3,4,2,5,4,3,4,2,2,3,2,5,3.6667,4.7500,2.1667,3.3333,3.3333
Hokkaido,https://dogtime.com/wp-content/uploads/sites/12/2023/10/Screen-Shot-2023-10-06-at-10.25.31-AM-1-e1696602900421.png,https://dogtime.com/dog-breeds/hokkaido,3,2,2,3,5,2,4,4,3,3,4,2,1,5,3,3,3,4,3,4,3,3,3,2,3,2.8333,3.5000,3.0000,3.3333,2.6667
Horgi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/horgi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/horgi,2,2,4,2,4,3,5,5,4,5,4,2,3,3,3,2,4,4,4,4,3,3,4,3,4,2.8333,4.7500,2.8333,3.6667,3.6667
Huskita,https://dogtime.com/wp-content/uploads/sites/12/2019/12/Huskita-Collage-e1710445440763.jpg,https://dogtime.com/dog-breeds/huskita,2,1,4,1,5,3,5,2,2,3,4,3,1,4,3,4,2,3,3,4,5,5,4,4,5,2.6667,3.0000,3.1667,3.6667,4.3333
Huskydoodle,"https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-980012224.jpg?resize=1536,1018",https://dogtime.com/dog-breeds/huskydoodle,2,2,3,2,4,3,4,4,4,3,3,2,3,4,4,3,3,5,3,4,2,2,5,4,4,2.6667,3.7500,3.1667,3.1667,4.3333
Ibizan Hound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-524728700-e1694569218246.jpg?w=1024,https://dogtime.com/dog-breeds/ibizan-hound,5,3,4,2,1,4,5,5,5,4,3,1,5,4,1,3,3,4,3,5,2,5,5,3,5,3.1667,4.7500,2.8333,3.6667,4.3333
Icelandic Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1249910553-2.jpg,https://dogtime.com/dog-breeds/icelandic-sheepdog,1,1,3,2,5,3,4,4,2,2,5,1,1,3,3,3,3,4,3,4,1,4,4,5,4,2.5000,3.0000,2.6667,3.1667,4.3333
Irish Red and White Setter,https://dogtime.com/wp-content/uploads/sites/12/2023/07/Screen-Shot-2023-07-11-at-10.56.38-AM-e1692452682474.png,https://dogtime.com/dog-breeds/irish-red-and-white-setter,1,3,4,1,4,3,5,4,4,4,3,1,3,2,2,3,4,4,4,3,3,4,5,5,5,2.6667,4.2500,2.3333,3.6667,5.0000
Irish Setter,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-986376406-e1692813099422.jpg?w=1024,https://dogtime.com/dog-breeds/irish-setter,1,3,4,2,4,3,5,5,5,5,4,2,3,2,3,4,4,5,5,5,4,5,5,3,5,2.8333,5.0000,3.0000,4.6667,4.3333
Irish Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1075596616-e1694717947452.jpg?w=1024,https://dogtime.com/dog-breeds/irish-terrier,3,2,3,2,4,4,5,5,1,3,4,1,2,5,3,3,1,4,1,2,4,3,5,4,5,3.0000,3.5000,3.0000,2.5000,4.6667
Irish Water Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/14770260620_a14323c80b_h-e1696226376292.jpg,https://dogtime.com/dog-breeds/irish-water-spaniel,3,2,4,3,4,4,5,5,4,5,1,2,3,2,3,3,5,4,3,5,4,3,5,3,4,3.3333,4.7500,2.3333,4.0000,4.0000
Irish Wolfhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-802294198-e1694543128527.jpg?w=1024,https://dogtime.com/dog-breeds/irish-wolfhound,1,2,3,2,4,2,5,5,5,5,3,1,3,1,3,5,3,4,3,5,1,3,2,2,4,2.3333,5.0000,2.6667,3.1667,2.6667
Italian Greyhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1173875200-e1692375001305.jpg?w=1024,https://dogtime.com/dog-breeds/italian-greyhound,5,5,5,1,1,3,5,5,4,4,2,1,5,3,2,2,3,3,4,5,3,3,4,2,4,3.3333,4.5000,2.5000,3.5000,3.3333
Jack-A-Poo,https://dogtime.com/wp-content/uploads/sites/12/2020/02/jack-a-poo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/jack-a-poo,4,4,4,2,4,4,5,5,5,4,2,1,2,3,4,2,4,5,4,4,3,4,5,4,5,3.6667,4.7500,2.3333,4.0000,4.6667
Jack Chi,https://dogtime.com/wp-content/uploads/sites/12/2019/07/jack-chi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/jack-chi,4,2,3,3,2,4,4,5,4,3,2,2,5,4,4,2,2,4,2,4,2,4,4,4,5,3.0000,4.0000,3.1667,3.0000,4.3333
Jack Russell Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1165035381-e1691077727532.jpg?w=1024,https://dogtime.com/dog-breeds/jack-russell-terrier,3,2,3,3,4,3,5,4,5,4,3,1,3,4,4,2,4,5,4,5,4,4,5,5,5,3.0000,4.5000,2.8333,4.3333,5.0000
Japanese Chin,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-987920506-e1700238374981.jpg?w=1024,https://dogtime.com/dog-breeds/japanese-chin,5,4,3,1,3,2,3,3,3,4,3,1,3,3,3,1,3,3,4,3,3,1,2,1,4,3.0000,3.2500,2.3333,2.8333,2.3333
Japanese Spitz,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1489388446-e1698507707274.jpg?w=1024,https://dogtime.com/dog-breeds/japanese-spitz,4,4,3,2,4,3,4,5,4,2,3,1,4,3,2,2,4,4,2,2,4,2,3,2,4,3.3333,3.7500,2.5000,3.0000,3.0000
Korean Jindo Dog,https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-154265953-e1695054866660.jpg?w=1024,https://dogtime.com/dog-breeds/jindo,3,2,3,2,5,2,5,3,3,4,5,1,1,4,2,3,2,5,2,5,5,5,4,4,4,2.8333,3.7500,2.6667,4.0000,4.0000
Karelian Bear Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/08/Screen-Shot-2023-08-19-at-10.09.56-AM-e1692454226742.png,https://dogtime.com/dog-breeds/karelian-bear-dog,2,1,4,2,5,3,4,3,1,2,3,1,4,4,2,3,2,4,4,5,4,5,4,5,4,2.8333,2.5000,2.8333,4.0000,4.3333
Keeshond,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-954286436-e1695823345532.jpg?w=1024,https://dogtime.com/dog-breeds/keeshond,4,4,5,1,5,3,5,5,4,4,5,1,3,3,4,3,4,4,3,3,4,2,4,3,5,3.6667,4.5000,3.1667,3.3333,4.0000
Kerry Blue Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1297190480-e1709252365876.jpg?w=1024,https://dogtime.com/dog-breeds/kerry-blue-terrier,3,2,3,3,4,3,4,4,2,5,1,1,2,3,3,3,4,4,4,3,4,3,4,4,4,3.0000,3.7500,2.1667,3.6667,4.0000
Komondor,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1250679406-e1692462057758.jpg,https://dogtime.com/dog-breeds/komondor,2,1,4,1,4,3,5,3,1,1,3,2,2,2,3,4,4,4,3,2,5,4,2,1,4,2.5000,2.5000,2.6667,3.6667,2.3333
Kooikerhondje,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-2.08.42-PM-e1695751772791.png,https://dogtime.com/dog-breeds/kooikerhondje,4,3,4,2,4,3,3,2,2,2,3,1,2,5,3,3,1,4,3,3,3,3,4,5,4,3.3333,2.2500,2.8333,2.8333,4.3333
Kuvasz,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1448544277-e1694629203459.jpg?w=1024,https://dogtime.com/dog-breeds/kuvasz,1,1,5,1,5,2,5,1,2,1,4,3,4,4,4,5,2,4,1,1,3,3,4,4,4,2.5000,2.2500,4.0000,2.3333,4.0000
Kyi-Leo,https://dogtime.com/wp-content/uploads/sites/12/2019/07/kyi-leo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/kyi-leo,5,4,3,4,5,2,5,5,4,3,2,1,2,3,3,2,3,3,4,1,4,2,4,3,4,3.8333,4.2500,2.1667,2.8333,3.6667
Lab Pointer,https://dogtime.com/wp-content/uploads/sites/12/2019/09/lab-pointer-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/lab-pointer,1,4,3,1,4,4,5,4,3,4,2,2,4,4,4,4,5,4,2,4,2,4,5,3,4,2.8333,4.0000,3.3333,3.5000,4.0000
Labernese,https://dogtime.com/wp-content/uploads/sites/12/2019/08/labernese-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labernese,2,4,4,1,4,2,4,5,4,3,4,3,3,2,4,4,3,4,3,3,2,4,4,2,5,2.8333,4.0000,3.3333,3.1667,3.6667
Labmaraner,https://dogtime.com/wp-content/uploads/sites/12/2019/08/labmaraner-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labmaraner,1,4,4,1,3,3,4,5,4,3,1,2,4,4,4,4,4,4,3,3,3,4,4,3,5,2.6667,4.0000,3.1667,3.5000,4.0000
Labrabull,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Labrabull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labrabull,2,2,4,1,3,3,5,5,2,5,5,2,5,3,3,4,5,5,5,3,3,4,5,5,5,2.5000,4.2500,3.6667,4.1667,5.0000
Labradane,https://dogtime.com/wp-content/uploads/sites/12/2019/07/labradane-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labradane,1,2,3,2,4,4,5,5,4,3,2,3,4,4,4,5,3,4,2,3,1,3,4,2,5,2.6667,4.2500,3.6667,2.6667,3.6667
Labradoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1208092301-e1692490137729.jpg,https://dogtime.com/dog-breeds/labradoodle,3,4,3,4,5,4,5,4,5,5,3,1,4,4,3,4,4,4,1,2,2,3,5,4,5,3.8333,4.7500,3.1667,2.6667,4.6667
Labrador Retriever,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-590608307-e1706029609404.jpg?w=1024,https://dogtime.com/dog-breeds/labrador-retriever,1,3,5,2,3,3,5,5,5,5,5,3,5,3,5,4,5,5,5,2,4,3,5,5,5,2.8333,5.0000,4.1667,4.0000,5.0000
Labrastaff,https://dogtime.com/wp-content/uploads/sites/12/2019/09/labrastaff-mixed-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/labrastaff,2,2,4,1,3,3,4,4,3,4,4,3,3,4,4,4,2,4,3,3,3,4,4,3,4,2.5000,3.7500,3.6667,3.1667,3.6667
Labsky,https://dogtime.com/wp-content/uploads/sites/12/2019/07/labsky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/labsky,2,2,2,2,5,1,5,4,3,3,4,2,2,3,4,4,4,5,3,4,4,4,5,4,5,2.3333,3.7500,3.1667,4.0000,4.6667
Lagotto Romagnolo,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1211722924-2-e1697045871165.jpg?w=1024,https://dogtime.com/dog-breeds/lagotto-romagnolo,2,4,3,3,4,3,3,3,3,3,1,2,1,4,3,2,4,4,2,4,3,3,4,2,4,3.1667,3.0000,2.1667,3.3333,3.3333
Lakeland Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1316778991-e1694448033355.jpg,https://dogtime.com/dog-breeds/lakeland-terrier,4,3,3,2,4,4,5,4,3,3,2,1,2,5,3,2,2,4,1,4,2,3,5,4,4,3.3333,3.7500,2.5000,2.6667,4.3333
Lancashire Heeler,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1432487561-e1694451218118.jpg?w=1024,https://dogtime.com/dog-breeds/lancashire-heeler,2,2,3,3,3,3,4,3,3,2,3,1,4,4,4,1,3,4,2,2,2,4,4,4,4,2.6667,3.0000,2.8333,2.8333,4.0000
Leonberger,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1222400991-e1694096032487.jpg?w=1024,https://dogtime.com/dog-breeds/leonberger,1,1,4,2,5,1,5,4,3,2,5,3,4,1,4,5,2,3,4,4,3,2,4,4,4,2.3333,3.5000,3.6667,3.0000,4.0000
Lhasa Apso,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1483197154-e1693252246421.jpg?w=1024,https://dogtime.com/dog-breeds/lhasa-apso,5,5,5,4,3,2,4,4,3,2,3,1,1,3,3,1,3,4,3,4,4,2,4,3,5,4.0000,3.2500,2.0000,3.3333,4.0000
Lhasapoo,https://dogtime.com/wp-content/uploads/sites/12/2020/02/lhasapoo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/lhasapoo,4,2,4,2,3,3,4,3,3,1,1,1,3,4,3,3,3,5,2,2,4,2,4,4,4,3.0000,2.7500,2.5000,3.0000,4.0000
Lowchen,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-899407726-e1700520507319.jpg,https://dogtime.com/dog-breeds/lowchen,5,4,3,1,3,3,5,5,4,4,3,1,3,5,3,1,5,4,3,4,4,5,4,3,5,3.1667,4.5000,2.6667,4.1667,4.0000
Maltese,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1160956147-e1694625569541.jpg,https://dogtime.com/dog-breeds/maltese,5,5,4,1,1,3,5,3,4,2,2,1,2,3,3,1,4,4,3,4,2,1,3,3,4,3.1667,3.5000,2.0000,3.0000,3.3333
Maltese Shih Tzu,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-184919092-e1698683026132.jpg?w=1024,https://dogtime.com/dog-breeds/maltese-shih-tzu,5,5,3,3,2,2,4,3,3,3,1,1,2,2,3,1,4,3,4,5,4,1,3,2,3,3.3333,3.2500,1.6667,3.5000,2.6667
Maltipoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1455758529-e1688370717758.jpg?w=1024,https://dogtime.com/dog-breeds/maltipoo,5,5,5,1,2,3,5,4,4,4,1,1,3,2,2,2,5,4,3,2,5,4,3,3,4,3.5000,4.2500,1.8333,3.8333,3.3333
Manchester Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-130848030-e1694618735168.jpg?w=1024,https://dogtime.com/dog-breeds/manchester-terrier,5,3,3,3,1,3,4,3,3,3,3,1,5,2,4,2,2,4,2,4,4,4,4,4,4,3.0000,3.2500,2.8333,3.3333,4.0000
Mastador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/mastador-mixed-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/mastador,1,2,4,3,4,2,5,5,3,3,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,2.6667,4.0000,4.0000,3.0000,4.0000
Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1489183592-e1700234254918.jpg?w=1024,https://dogtime.com/dog-breeds/mastiff,2,1,3,3,4,1,5,5,2,2,3,5,3,3,4,5,3,2,4,2,2,1,3,3,4,2.3333,3.5000,3.8333,2.3333,3.3333
Miniature Pinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-661905012-e1691245589685.jpg,https://dogtime.com/dog-breeds/miniature-pinscher,5,3,5,2,1,3,5,3,2,3,2,1,5,3,5,1,3,3,2,3,1,5,4,3,5,3.1667,3.2500,2.8333,2.8333,4.0000
Miniature Schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-512630175-e1692383207927.jpg,https://dogtime.com/dog-breeds/miniature-schnauzer,4,3,4,5,4,4,5,3,3,3,2,1,2,3,4,2,5,4,2,4,3,3,5,3,4,4.0000,3.5000,2.3333,3.5000,4.0000
Morkie,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1468426253-e1706024827584.jpg?w=1024,https://dogtime.com/dog-breeds/morkie,3,2,3,2,2,3,4,3,2,3,1,1,3,4,4,1,3,4,5,3,5,2,4,3,5,2.5000,3.0000,2.3333,3.6667,4.0000
Mudi,https://dogtime.com/wp-content/uploads/sites/12/2018/04/GettyImages-1489267483-e1694449407987.jpg?w=1024,https://dogtime.com/dog-breeds/mudi,2,4,4,2,3,3,4,2,2,2,3,1,4,4,2,2,5,4,3,4,4,4,4,2,4,3.0000,2.5000,2.6667,4.0000,3.3333
Neapolitan Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-158773964-e1694440082632.jpg?w=1024,https://dogtime.com/dog-breeds/neapolitan-mastiff,2,1,4,1,1,2,5,4,2,1,3,5,3,2,5,5,3,3,2,1,1,1,3,1,4,1.8333,3.0000,3.8333,1.8333,2.6667
Newfoundland,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-971166282-e1693688303846.jpg?w=1024,https://dogtime.com/dog-breeds/newfoundland,1,3,4,1,5,2,5,5,4,4,5,5,2,1,4,5,5,4,3,4,4,3,3,1,4,2.6667,4.5000,3.6667,3.8333,2.6667
Norfolk Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177762710-e1695912786803.jpg,https://dogtime.com/dog-breeds/norfolk-terrier,4,5,4,3,4,4,5,4,5,4,1,1,4,5,5,1,5,4,2,1,3,4,4,4,5,4.0000,4.5000,2.8333,3.1667,4.3333
